x,y,z
3476.376067,28558.29772,1627.743111
4445.741747,27767.97831,1722.237272
5415.107427,26977.6589,1816.731434
6385.711305,26186.32999,1911.346295
7061.973616,25318.11153,2018.018338
7738.235926,24449.89308,2124.690381
8416.170846,23579.52725,2231.626258
8851.976108,22709.98497,2354.56185
9287.781371,21840.44269,2477.497441
9725.19299,20967.69532,2600.886168
9972.086553,20139.61647,2738.381243
10218.98012,19311.53762,2875.876318
10467.1611,18479.14078,3014.088357
10570.17328,17714.42477,3165.525822
10673.18546,16949.70875,3316.963286
10776.93425,16179.52451,3469.483628
10773.01872,15487.25358,3635.044803
10769.10318,14794.98265,3800.605977
10765.15032,14096.11177,3967.745574
10683.58092,13477.81112,4147.688441
10602.01152,12859.51047,4327.631308
10519.42731,12233.51748,4509.812862
10382.96959,11686.47829,4704.486197
10246.51187,11139.4391,4899.159532
10107.87726,10583.67306,5096.938467
9934.058031,10102.97973,5306.800553
9760.238806,9622.286398,5516.66264
9582.916936,9131.906579,5730.753673
9385.162674,8711.648264,5956.391948
9187.408411,8291.389948,6182.030224
8984.687748,7860.577265,6413.335179
8773.260887,7494.552536,6655.459421
8561.834025,7128.527808,6897.583663
8343.877538,6751.198911,7147.185578
8124.984173,6431.046523,7408.330327
7906.090809,6110.894136,7669.475077
7683.723635,5785.660971,7934.76416
7464.151564,5507.874071,8213.861001
7244.579492,5230.087172,8492.957842
7020.819487,4947.001999,8777.377942
6804.265957,4706.476666,9074.654601
6587.712427,4465.951332,9371.931261
6366.152436,4219.865338,9676.080604
6155.352329,4012.032851,9992.626658
5944.552222,3804.200364,10309.17271
5727.762431,3590.462514,10634.71312
5524.891204,3411.238737,10972.4577
5322.019977,3232.01496,11310.20228
5111.946347,3046.42832,11659.93758
4918.659322,2892.206071,12021.32683
4725.372296,2737.983822,12382.71608
4523.30312,2576.754363,12760.52534
4340.852458,2444.39885,13148.52896
4158.401796,2312.043338,13536.53259
3964.96437,2171.717678,13947.9009
3794.383452,2058.565061,14366.12387
3623.802535,1945.412444,14784.34683
3438.914074,1822.769105,15237.64842
3274.687581,1722.650335,15709.20384
3110.461088,1622.531565,16180.75926
