x,y,z
7906.090809,6110.894136,7669.475077
8124.984173,6431.046523,7408.330327
8343.877538,6751.198911,7147.185578
8561.834025,7128.527808,6897.583663
8773.260887,7494.552536,6655.459421
8984.687748,7860.577265,6413.335179
9187.408411,8291.389948,6182.030224
9385.162674,8711.648264,5956.391948
9582.916936,9131.906579,5730.753673
9760.238806,9622.286398,5516.66264
9934.058031,10102.97973,5306.800553
10107.87726,10583.67306,5096.938467
10246.51187,11139.4391,4899.159532
10382.96959,11686.47829,4704.486197
10519.42731,12233.51748,4509.812862
10602.01152,12859.51047,4327.631308
10683.58092,13477.81112,4147.688441
10765.15032,14096.11177,3967.745574
10769.10318,14794.98265,3800.605977
10773.01872,15487.25358,3635.044803
10776.93425,16179.52451,3469.483628
10673.18546,16949.70875,3316.963286
10570.17328,17714.42477,3165.525822
10467.1611,18479.14078,3014.088357
10218.98012,19311.53762,2875.876318
9972.086553,20139.61647,2738.381243
9725.19299,20967.69532,2600.886168
9287.781371,21840.44269,2477.497441
8851.976108,22709.98497,2354.56185
8416.170846,23579.52725,2231.626258
7738.235926,24449.89308,2124.690381
7061.973616,25318.11153,2018.018338
6385.711305,26186.32999,1911.346295
5415.107427,26977.6589,1816.731434
4445.741747,27767.97831,1722.237272
3476.376067,28558.29772,1627.743111
