x,y,z
7683.723635,5785.660971,7934.76416
7464.151564,5507.874071,8213.861001
7244.579492,5230.087172,8492.957842
7020.819487,4947.001999,8777.377942
6804.265957,4706.476666,9074.654601
6587.712427,4465.951332,9371.931261
6366.152436,4219.865338,9676.080604
6155.352329,4012.032851,9992.626658
5944.552222,3804.200364,10309.17271
5727.762431,3590.462514,10634.71312
5524.891204,3411.238737,10972.4577
5322.019977,3232.01496,11310.20228
5111.946347,3046.42832,11659.93758
4918.659322,2892.206071,12021.32683
4725.372296,2737.983822,12382.71608
4523.30312,2576.754363,12760.52534
4340.852458,2444.39885,13148.52896
4158.401796,2312.043338,13536.53259
3964.96437,2171.717678,13947.9009
3794.383452,2058.565061,14366.12387
3623.802535,1945.412444,14784.34683
3438.914074,1822.769105,15237.64842
3274.687581,1722.650335,15709.20384
3110.461088,1622.531565,16180.75926
